先方側メーカーCD,先方側メーカー名,先方側車種CD,先方側車種名,先方側グレード名,先方側型式,先方側排気量,ルール,PROTO車種CD,PROTO車種名,PROTOグレードCD,PROTOグレード名,PROTO型式
,日産,S135,ＡＤ,１．５ ＤＸ 右リヤドア交換跡有り,DBF-VY12,1500,35,10156125,ＡＤ,2,ＤＸ,VY12
,日産,S011,ティアナ,２．５ ＸＶ ナビＡＶＭパッケージ 展示試乗車,DBA-L33,2500,25,10151038,ティアナ,99,ＸＶ ナビＡＶＭパッケージ,L33
,日産,S011,ティアナ,２．５ ＸＬ 助手席オットマン,DBA-L33,2500,35,10151038,ティアナ,93,ＸＬ,L33
,日産,S136,ＡＤエキスパート,１．５ ＧＸ 純正メモリーナビ パワーウィンドゥ,DBF-VY12,1500,25,10156126,ＡＤエキスパート,3,ＧＸ,VY12
,日産,S020,エクストレイル,２．０ ２０Ｓ エマージェンシーブレーキパッケージ ２列車 ４ＷＤ インテリキー・シートヒーター・エマブレ,DBA-NT32,2000,35,10152036,エクストレイル,199,２０Ｓ エマージェンシーブレーキパッケージ,NT32
,日産,S173,ＮＶ３５０キャラバン,チェアキャブ（車椅子１＋１名仕様 １０人乗り）,CBF-CS4E26改,2500,35,10157126,ＮＶ３５０キャラバンバン,-1,チェアキャブ（車椅子１＋１名仕様 １０人乗り）,
,日産,S168,リーフ,Ｘ　１０万台記念車　プロパイロット抗菌・抗ウィルス対策施工車,ZAA-ZE1,0,25,10151048,リーフ,76,Ｘ １０万台記念車,ZE1
,日産,S168,リーフ,３０ｋＷｈ　Ｘ　純正ナビ　ＴＶ　　バックモニター　ＬＥＤ,ZAA-AZE0,0,35,10151048,リーフ,39,Ｘ（３０ｋｗｈ）,AZE0
,日産,S168,リーフ,ｅ＋　Ｘ　当社社用車ＵＰ　メーカーナビ　踏み違い防止,ZAA-ZE1,0,25,10151048,リーフ,83,ｅ＋ Ｘ,ZE1
,日産,S168,リーフ,Ｘ　電気自動車・バックモニター,ZAA-AZE0,0,35,10151048,リーフ,13,Ｘ,AZE0
,日産,S181,デイズルークス,６６０　ハイウェイスターＸ　ナビ　全方位カメラ　電動スライドドア,DBA-B21A,660,25,10152050,デイズルークス,120,ハイウェイスター Ｘ,B21A
,日産,S181,デイズルークス,６６０　ハイウェイスター　Ｘターボ　ナビ＆ＡＶＭ＆エマブレ＆ドラレコ,DBA-B21A,660,25,10152050,デイズルークス,179,ハイウェイスター Ｘターボ,B21A
,日産,S137,ピノ,６６０　Ｓ　ワンオーナー,DBA-HC24S,660,25,10151044,ピノ,13,Ｓ,HC24S
,日産,S137,ピノ,６６０　Ｓ　エアコン　リモコンキー　オーディオレス,DBA-HC24S,660,25,10151044,ピノ,13,Ｓ,HC24S
,日産,S176,ラティオ,１．２　Ｇ　メモリーナビ　バックカメラ　車検整備２年付,DBA-N17,1200,35,10151049,ラティオ,25,Ｇ,N17
,日産,S023,マーチ,１．２　Ｇ　［メモリーナビ・ＴＶ］,DBA-K13,1200,35,10151032,マーチ,83,Ｇ,K13
,日産,S023,マーチ,１．２　１２Ｅ　純正ＨＤＤナビ　フルセグＴＶ　インテリキー,DBA-AK12,1200,35,10151032,マーチ,176,１２Ｅ,AK12
,日産,S023,マーチ,１．２　ボレロ　メモリーナビ　ＥＴＣ　アルミホイール付,DBA-K13,1200,25,10151032,マーチ,113,ボレロ,K13
,日産,S008,ノート,１．２　Ｘ　ライダー　下取りワンオーナー車,DBA-E12,1200,35,10151042,ノート,83,ライダー,E12
,日産,S008,ノート,１．２　ｅ－ＰＯＷＥＲ　メダリスト　アラウンドビュー・ＬＥＤヘッドライト,DAA-HE12,1200,25,10151042,ノート,366,ｅ－パワー メダリスト,HE12
,日産,S008,ノート,１．２　Ｘ　ＤＩＧ－Ｓ　メモリーナビ　車線逸脱警報,DBA-E12,1200,35,10151042,ノート,230,Ｘ ＤＩＧ－Ｓ,E12
,日産,S147,デュアリス,２．０　２０Ｇ　ＦＯＵＲ　４ＷＤ　Ｇルーフ　インテリ　キセノン　ナビＴＶ,DBA-KNJ10,2000,25,10152040,デュアリス,43,２０Ｇ ＦＯＵＲ,KNJ10
